Feature,Importance
Electron_Flux_mean_24h,0.56604016
Electron_Flux_std_24h,0.106400795
Speed_km_s_mean_24h,0.028512565
BZ_nT_GSM_mean_24h,0.018306214
Speed_km_s_mean_3h,0.017915266
Electron_Flux_max_24h,0.015305998
Speed_km_s_max_24h,0.0081329085
BZ_nT_GSM_mean_3h,0.007407989
SYM_H_nT_lag_12h,0.006290731
SYM_H_nT_mean_3h,0.006150545
BZ_nT_GSM_max_24h,0.0060259327
SYM_H_nT_mean_24h,0.0059010405
Electron_Flux_mean_3h,0.00577171
Speed_km_s_lag_3h,0.0055844956
BZ_nT_GSM_lag_45m,0.0055157025
Flow_pressure_nPa_lag_24h,0.0055153696
Electron_Flux_lag_12h,0.0053784503
BZ_nT_GSM_lag_3h,0.005342301
Speed_km_s_lag_12h,0.005273428
Speed_km_s,0.0052114604
SYM_H_nT_lag_6h,0.0052045425
Electron_Flux_lag_6h,0.0051758788
storm_candidate,0.0051728855
SYM_H_nT_lag_48h,0.0051672007
Speed_km_s_lag_6h,0.0051348833
Speed_km_s_std_24h,0.005120515
Electron_Flux_lag_45m,0.0051012314
BZ_nT_GSM_lag_12h,0.005083582
Speed_km_s_lag_24h,0.0050808587
BZ_nT_GSM_lag_24h,0.005079658
Electron_Flux_lag_3h,0.0050786436
SYM_H_nT_lag_45m,0.0050764605
Speed_km_s_lag_45m,0.005072715
Electron_Flux_lag_48h,0.0050330674
Flow_pressure_nPa_mean_3h,0.0050015235
Speed_km_s_lag_48h,0.0050001005
Flow_pressure_nPa_lag_12h,0.0049865735
SYM_H_nT,0.0049843127
SYM_H_nT_lag_24h,0.004952423
SYM_H_nT_lag_3h,0.0049331314
Flow_pressure_nPa_mean_24h,0.004923167
Flow_pressure_nPa_lag_6h,0.004918449
Electron_Flux_lag_24h,0.0049070176
BZ_nT_GSM_std_24h,0.0048834295
Flow_pressure_nPa_lag_3h,0.004880708
BZ_nT_GSM_lag_6h,0.0048453454
BZ_nT_GSM,0.004819282
Flow_pressure_nPa_lag_45m,0.0047890767
Electron_Flux,0.004788261
Flow_pressure_nPa_lag_48h,0.0047495742
BZ_nT_GSM_lag_48h,0.0047436277
Proton_Temperature_K,0.004723848
Flow_pressure_nPa,0.0046049682
